602,24,0.714253,20.479
599,24,1.83228,19.4562
630,76,3.693914,18.695
574,10,0.947933,20.1717
622,82,3.404122,18.7837
629,75,7.95762,17.8618
621,65,2.758548,19.012
632,58,10.883031,17.5219
603,32,1.997256,19.3626
602,14,2.202499,19.2564
627,65,3.492092,18.756
616,32,0.686011,20.5228
639,66,1.633614,19.5808
635,18,0.745097,20.4331
580,17,2.833487,18.9829
627,78,0.555452,20.752
661,24,0.545313,20.772
619,54,1.142515,19.969
617,11,0.907187,20.2194
627,12,4.138941,18.5715
648,52,3.117477,18.8792
615,3,0.978269,20.1375
621,46,1.433199,19.7229
612,49,1.070287,20.0399
648,34,1.045538,20.0653
602,25,4.296255,18.531
622,30,1.210439,19.9063
572,9,1.011531,20.1012
666,7,1.285595,19.8409
625,69,1.097339,20.0128
612,2,2.611196,19.0716
605,57,1.904201,19.4144
670,6,0.863408,20.2731
662,29,0.935443,20.1861
614,70,0.54783,20.767
616,63,1.525696,19.655
579,14,0.583778,20.698
657,2,0.985868,20.1291
642,8,1.204101,19.912
582,29,0.566822,20.73
637,59,1.419013,19.7337
621,72,1.265738,19.8578
575,15,0.942362,20.1781
654,8,3.928693,18.6281
646,8,1.932293,19.3985
606,20,0.657249,20.5693
622,52,0.823332,20.3247
575,4,0.486546,20.8958
601,25,0.643057,20.593
456,45,0.819624,20.3296
514,18,1.261781,19.8612
438,21,2.365251,19.179
513,20,1.127773,19.9831
474,26,1.527524,19.6537
450,27,0.564218,20.735
483,47,1.405356,19.7442
475,25,0.677097,20.537
485,11,0.594631,20.678
508,14,0.512206,20.84
479,10,0.656221,20.571
487,51,3.390041,18.7882
449,25,1.79222,19.4802
528,10,0.587933,20.6903
471,54,1.446595,19.7128
516,36,1.139047,19.9723
524,29,4.223278,18.5496
523,2,0.813757,20.3374
461,43,2.888029,18.9622
438,21,7.086972,17.9876
476,24,6.683123,18.0513
496,28,1.378941,19.7648
456,31,1.31155,19.8192
510,43,2.187135,19.264
460,8,60.093331,15.6668
459,25,3.999894,18.6086
487,59,3.670174,18.702
474,54,1.46456,19.6994
491,17,0.711626,20.483
493,42,0.573122,20.718
470,50,0.530451,20.802
508,48,1.173336,19.9401
539,10,0.442957,20.9977
492,43,1.348048,19.7894
474,48,1.189002,19.9257
478,1,0.829879,20.3161
509,44,27.874681,16.5008
510,27,0.562143,20.739
436,21,0.655617,20.572
509,30,1.768932,19.4944
453,38,0.57365,20.717
576,108,2.033827,19.3429
573,150,1.642667,19.5748
594,125,86.695008,15.2689
573,136,2.513267,19.1131
584,44,0.562661,20.738
597,62,1.646302,19.5724
553,2,4.663283,18.442
521,70,0.834478,20.3101
526,127,0.998939,20.1148
539,128,0.864442,20.2718
601,112,1.193611,19.9215
557,111,1.214683,19.9025
